path,filename,title,year,source,url,priority,notes,date_label,doc_type,jurisdiction,authority_rank,court,case_number
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2006-02-21_cjue_C-255-02_halifax_tva_abus_de_droit.pdf,2006-02-21_cjue_C-255-02_halifax_tva_abus_de_droit.pdf,"CJUE, Halifax (TVA, abus de droit)",2006-02-21,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62002CJ0255&from=FR,high,TVA; abus de droit; principe anti-abus (Halifax).,2006-02-21,jurisprudence,UE,85,CJUE,C-255/02
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2006-09-12_cjue_C-196-04_cadbury_schweppes_cfc_liberte_etablissement.pdf,2006-09-12_cjue_C-196-04_cadbury_schweppes_cfc_liberte_etablissement.pdf,"CJUE, Cadbury Schweppes (CFC, liberte d'etablissement)",2006-09-12,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62004CJ0196&from=FR,high,Impots directs; CFC; montage purement artificiel; liberte d'etablissement.,2006-09-12,jurisprudence,UE,85,CJUE,C-196/04
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2006-12-14_cjue_C-170-05_denkavit_retenue_source_dividendes.pdf,2006-12-14_cjue_C-170-05_denkavit_retenue_source_dividendes.pdf,"CJUE, Denkavit (retenue a la source dividendes)",2006-12-14,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62005CJ0170&from=FR,high,Retenue a la source; dividendes; non-residents; libertes de circulation.,2006-12-14,jurisprudence,UE,85,CJUE,C-170/05
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2011-09-15_cjue_C-310-09_accor_dividendes_avoir_fiscal.pdf,2011-09-15_cjue_C-310-09_accor_dividendes_avoir_fiscal.pdf,"CJUE, Accor (avoir fiscal / dividendes; traitement des non-residents)",2011-09-15,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62009CJ0310&from=FR,high,Dividendes; credit d'impot; coherence fiscale; egalite de traitement.,2011-09-15,jurisprudence,UE,85,CJUE,C-310/09
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2015-02-26_cjue_C-623-13_de_ruyter_prelevements_sociaux.pdf,2015-02-26_cjue_C-623-13_de_ruyter_prelevements_sociaux.pdf,"CJUE, de Ruyter (CSG/CRDS et reglement coordination securite sociale)",2015-02-26,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62013CJ0623&from=FR,high,Prelevements sociaux sur revenus du capital; rattachement securite sociale; UE.,2015-02-26,jurisprudence,UE,85,CJUE,C-623/13
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2017-05-16_cjue_C-682-15_berlioz_echange_informations_sanction.pdf,2017-05-16_cjue_C-682-15_berlioz_echange_informations_sanction.pdf,"CJUE, Berlioz (echange d'informations; recours juridictionnel; sanction)",2017-05-16,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62015CJ0682&from=FR,high,Cooperation administrative; echange d'informations; controle juridictionnel des amendes.,2017-05-16,jurisprudence,UE,85,CJUE,C-682/15
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2017-09-07_cjue_C-6-16_eqiom_mere_fille_retenue_source.pdf,2017-09-07_cjue_C-6-16_eqiom_mere_fille_retenue_source.pdf,"CJUE, Eqiom (retenue a la source; directive mere-fille; clause anti-abus)",2017-09-07,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62016CJ0006&from=FR,high,Directive mere-fille; retenue a la source; preuve d'abus; charge de la preuve.,2017-09-07,jurisprudence,UE,85,CJUE,C-6/16
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2018-11-22_cjue_C-575-17_sofina_retenue_source_deficit_non_residents.pdf,2018-11-22_cjue_C-575-17_sofina_retenue_source_deficit_non_residents.pdf,"CJUE, Sofina (retenue a la source; deficit; non-residents)",2018-11-22,EUR-Lex,https://eur-lex.europa.eu/legal-content/FR/TXT/PDF/?uri=CELEX:62017CJ0575&from=FR,high,Dividendes; retenue a la source; deficit; comparaison residents/non-residents.,2018-11-22,jurisprudence,UE,85,CJUE,C-575/17
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2016-09-16_cc_2016-609_QPC_credit_impot_recherche.pdf,2016-09-16_cc_2016-609_QPC_credit_impot_recherche.pdf,"Conseil constitutionnel, 2016-609 QPC (credit d'impot recherche)",2016-09-16,Conseil constitutionnel,https://www.conseil-constitutionnel.fr/sites/default/files/as/root/bank_mm/decisions/2016609qpc/2016609qpc.pdf,high,QPC; credit d'impot recherche (CIR); egalite devant l'impot; constitutionnalite.,2016-09-16,jurisprudence,FR,95,Conseil constitutionnel,2016-609 QPC
/Users/pierre-emmanuelros/Documents/UCFC - U Chjucu Fiscalistu Corsu/data_fiscale/pdf/ucfc_pdf_inbox/batch_002/2017-03-01_cc_2016-614_QPC_article_123_bis_CGI.pdf,2017-03-01_cc_2016-614_QPC_article_123_bis_CGI.pdf,"Conseil constitutionnel, 2016-614 QPC (article 123 bis CGI)",2017-03-01,Conseil constitutionnel,https://www.conseil-constitutionnel.fr/sites/default/files/as/root/bank_mm/decisions/2016614qpc/2016614qpc.pdf,high,QPC; article 123 bis CGI; lutte contre l'evasion; garanties constitutionnelles.,2017-03-01,jurisprudence,FR,95,Conseil constitutionnel,2016-614 QPC
